Winnie the Pooh	http://disney.wikia.com/wiki/Winnie_the_Pooh	 The Many Adventures of Winnie the Pooh, Winnie the Pooh Discovers the Seasons, Winnie the Pooh and a Day for Eeyore, Winnie the Pooh: A Very Merry Pooh Year, Winnie the Pooh: Seasons of Giving, Pooh's Grand Adventure: The Search for Christopher Robin, The Tigger Movie, Mickey's Magical Christmas: Snowed in at the House of Mouse, Mickey's House of Villains, Piglet's Big Movie, Winnie the Pooh: Springtime with Roo, Pooh's Heffalump Movie, Pooh's Heffalump Halloween Movie, Winnie the Pooh	 Welcome to Pooh Corner, The New Adventures of Winnie the Pooh, House of Mouse, The Book of Pooh, My Friends Tigger and Pooh, A Poem Is...	 Winnie the Pooh: Adventures in the Hundred Acre Wood, Tigger's Honey Hunt, Kingdom Hearts series, Piglet's Big Game, Winnie The Pooh's Rumbly Tumbly Adventure, Meteos: Disney Magic, Kinect Disneyland Adventures, Disney INFINITY series (townsperson)	 The Many Adventures of Winnie the Pooh, Pooh's Hunny Hunt, Mickey Mouse Revue, Fantasmic!, Celebrate A Dreams Come True Parade, Jubilation!, Flights of Fantasy Parade, Mickey's Boo-to-You Halloween Parade, Mickey's Once Upon a Christmastime Parade, Disney Stars and Motorcars Parade, Light Magic, A Christmas Fantasy Parade, Parade of the Stars	 Frank Thomas (The Many Adventures of Winnie the Pooh),Ollie Johnston (The Many Adventures of Winnie the Pooh),Mark Henn (Winnie the Pooh),Rachel R. Bibb (Winnie the Pooh)	 Sterling Holloway (1966–1977),Hal Smith (1981–1986),Jim Cummings (1988–present)	 Winnie-the-Pooh from the books created by A. A. Milne.	 Star on the Hollywood Walk of Fame10th place in WatchMojo.com's Top 10 Classic Disney Animated Characters	 Edward Winnie-the-Pooh Bear	 Pooh,Pooh Bear,Buddy Bear (referred to by Tigger),Silly Old Bear (referred to by Christopher Robin),Pooh Boy (referred to by Tigger),Masked Bear (in the New Adventures of Winnie the Pooh),Edward Bear	 Plump ocre teddy bear, both black beady eyes and nose, a red short-sleeved shirt	 October 14	 Super Seulth,Pet owner	 Good	 Innocent, slow, caring, brave, obesity, hungry, happy, gentle, friendly, lovable, roly-poly, simple-minded, childlike, oblivious, a worrier at times	 To keep his tummy full of honey.	 Hundred Acre Wood		 Christopher Robin, Piglet, Tigger, Eeyore, Rabbit, Owl, Roo, Gopher, Kanga, Kessie, Lumpy, Darby, Buster, Heffalumps	Hundred Acre Wood	 Honey, his friends, balloons, adventure, imagination, songs, Christmas, autumn	 Bees, running out of honey, the thought of losing Christopher Robin, failing his friends	 Invulnerability (designed as a stuffed animal, filled with fluff), can communicate with bees (The Book of Pooh)	 "Oh, bother!","Think, think, think!"
Tigger	http://disney.wikia.com/wiki/Tigger	 The Many Adventures of Winnie the Pooh, Winnie the Pooh Discovers the Seasons, Winnie the Pooh and a Day for Eeyore, Winnie the Pooh: A Very Merry Pooh Year, Winnie the Pooh: Seasons of Giving, Pooh's Grand Adventure: The Search for Christopher Robin, The Tigger Movie, Piglet's Big Movie, Winnie the Pooh: Springtime with Roo, Pooh's Heffalump Movie, Pooh's Heffalump Halloween Movie, Mickey's House of Villains, Mickey's Magical Christmas: Snowed in at the House of Mouse, Winnie the Pooh	 The Mouse Factory, Welcome to Pooh Corner, The New Adventures of Winnie the Pooh, House of Mouse, The Book of Pooh, My Friends Tigger &amp; Pooh	 Tigger's Honey Hunt, Kingdom Hearts series, Piglet's Big Game, Winnie The Pooh's Rumbly Tumbly Adventure, Kinect Disneyland Adventures, Winnie the Pooh: Adventures in the Hundred Acre Wood, Disney INFINITY series (townsperson)	 The Many Adventures of Winnie the Pooh, Pooh's Hunny Hunt, World of Color, Fantasmic!, Jubilation!, Mickey's Boo-to-You Halloween Parade, Mickey's Once Upon a Christmastime Parade, Disney Stars and Motorcars Parade, Light Magic, A Christmas Fantasy Parade, Parade of the Stars	 Milt Kahl,Andreas Deja	 Paul Winchell (1968-1999),Will Ryan (1983-1986),Jim Cummings (1989-present)	 Tigger from The House at Pooh Corner (1928)			 Masked Offender (in the New Adventures of Winnie the Pooh),Ghost of Christmas Past,Tigger Dear (referred to by Kanga)	 Slender orange tiger, handsome, beady black eyes, thin black eyebrows, white upper face, ear innards, muzzle, and belly, black stripes, pink nose (black; in Welcome to Pooh Corner), a pair of 3 whiskers (4; in Winnie the Pooh), bouncing tail	 March 25	 Super Sleuth	 Good	 Rambunctious, childish, innocently egotistical, happy, energetic, friendly, exuberant, dramatic, loyal, tough, loud, strong, hardy, playful, mischievous, optimistic.	 To be the greatest bouncer in the Hundred Acre Wood.	 Hundred Acre Wood,His house	 His mother	 Christopher Robin, Darby, Pooh, Piglet, Rabbit, Eeyore, Roo, Kanga, Owl, Gopher, Kessie, Buster	Hundred Acre Wood,His house	 Being the only Tigger, bouncing, ice cream sundaes, teasing Rabbit, playing with Roo, extract of malts	 Honey, acorns, thistles, ice-skating, Poohsticks, climb trees, baths, not being allowed to bounce, Santa Pooh's cheap toy deliveries	 His incredible bouncing abilities,His lisps	 "T.T.F.N.! Ta-ta- for now!","Bouncing is what Tiggers do best!","Hoo-hoo-hoo-hoo-oo-oo-oo!","Consider yourself pounced!","T-I-double-guh-er! That spells Tigger!","She called me 'dear'."
Piglet	http://disney.wikia.com/wiki/Piglet	 The Many Adventures of Winnie the Pooh, Winnie the Pooh and a Day for Eeyore, Winnie the Pooh Discovers the Seasons, Who Framed Roger Rabbit (cameo), Pooh's Grand Adventure: The Search for Christopher Robin, The Tigger Movie, Piglet's Big Movie, Winnie the Pooh: Springtime with Roo, Pooh's Heffalump Movie, Pooh's Heffalump Halloween Movie, Mickey's House of Villains, Mickey's Magical Christmas: Snowed in at the House of Mouse, Winnie the Pooh	 Welcome to Pooh Corner, The New Adventures of Winnie the Pooh, House of Mouse, The Book of Pooh, My Friends Tigger and Pooh	 Tigger's Honey Hunt, Kingdom Hearts series, Piglet's Big Game, Winnie The Pooh's Rumbly Tumbly Adventure, Meteos: Disney Magic, Kinect Disneyland Adventures, Winnie the Pooh: Adventures in the Hundred Acre Wood	 The Many Adventures of Winnie the Pooh, Pooh's Hunny Hunt, Jubilation!, Mickey's Boo-to-You Halloween Parade, Mickey's Once Upon a Christmastime Parade, Parade of the Stars	 Frank Thomas,Anthony DeRosa,Bruce W. Smith	 John Fiedler (1968–2005),Phil Baron (Welcome to Pooh Corner),Travis Oates (2005–present),Steve Schatzberg (singing; Pooh's Grand Adventure),Jeff Bennett (singing; Winnie the Pooh a Very Merry Pooh Year)	 Piglet from the A. A. Milne stories			 Piglet Ol' Pal (referred to by Tigger),Porky Boy,"The Pig" (by Roo (2011 film))	 Small and slender piglet, pink skin, both rose ears and snout, thin black eyebrows, matching beady eyes, magenta jumpsuit with black-hairlined stripes	 July 10		 Good	 Innocent, cowardly, paranoid, shy, anxious, coy, quiet, supportive, passive, timid, helpful, organized	 To become brave.	 Hundred Acre Wood	 Trespassers William (grandfather),His unnamed mother,His unnamed father,His unnamed sibling	 Winnie the Pooh, Christopher Robin, Darby, Buster, Tigger, Rabbit, Eeyore, Kanga, Roo, Owl, Gopher, Lumpy, Heffalumps, Kessie, Nasty Jack	Hundred Acre Wood	 Being with Pooh and his friends, haycorns, safety, Heffalumps	 Danger, the dark, Woozles	 Small degree of super strength	 "Oh, d-d-d-dear! I musn’t f-f-f-fear!"
Tyrannosaurus Rex	http://disney.wikia.com/wiki/Tyrannosaurus_Rex	 Fantasia, Fantasia 2000 (appears in flashback), Who Framed Roger Rabbit (possible cameo), Pooh's Grand Adventure: The Search for Christopher Robin, Lady and the Tramp II: Scamp's Adventure (appears in a skeleton), The Good Dinosaur, Meet the Robinsons	 Bonkers (cameo), Phineas and Ferb (cameo), The Little Mermaid, Aladdin, The Legend of Tarzan , Gravity Falls		 Primeval World, Universe of Energy, T-Rex Cafe, The Timekeeper	 Wolfgang Reitherman,John Pomeroy	 None (in Fantasia),Frank Welker,Dee Bradley Baker,John Ratzenberger (in The Good Dinosaur)	 Tyrannosaurus Rex,Allosaurus			 T-Rex	 (In Fantasia) Gigantic and slender dark blue T-Rex, three fingers on both arms, red devilish eyes,(later media) two fingers on both arms, brown or red, yellow or grey eyes.		 Apex Predator,Predator,Hunter,Meat-eater	 Neutral	 Ferocious, aggressive, violent, ruthless, hungry, thirsty, voracious, cruel, destructive, mysterious, dangerous, greedy, carnivorous	 To survive its habitat		 Coelurosaurs			 Food, eating, water	 Being killed, dying, being injured, starvation, thirst	 Strength, roars, powerful bite	
Eeyore	http://disney.wikia.com/wiki/Eeyore	 The Many Adventures of Winnie the Pooh, Winnie the Pooh Discovers the Seasons, Winnie the Pooh: A Very Merry Pooh Year, Winnie the Pooh: Seasons of Giving, Pooh's Grand Adventure: The Search for Christopher Robin, The Tigger Movie, Piglet's Big Movie, Pooh's Heffalump Movie, Mickey's House of Villains, Mickey's Magical Christmas: Snowed in at the House of Mouse, Winnie the Pooh	 Welcome to Pooh Corner, The New Adventures of Winnie the Pooh, House of Mouse, The Book of Pooh, My Friends Tigger &amp; Pooh, A Poem Is...	 Tigger's Honey Hunt, Kingdom Hearts series, Winnie The Pooh's Rumbly Tumbly Adventure, Kinect Disneyland Adventures, Winnie the Pooh: Adventures in the Hundred Acre Wood, Disney INFINITY: 2.0 Edition (townsperson)	 The Many Adventures of Winnie the Pooh, Pooh's Hunny Hunt, Fantasmic!, Mickey's Boo-to-You Halloween Parade, Mickey's Once Upon a Christmastime Parade, Jubilation!, A Christmas Fantasy Parade, Parade of the Stars	 Randy Haycock	 Ralph Wright (1966–1983),Ron Feinberg (1981),Ron Gans (1983–1986),Gregg Berger (Kingdom Hearts series, Kinect Disneyland Adventures, The Mini Adventures of Winnie the Pooh),Peter Cullen (1988–2010),Bud Luckey (2011–present)	 Eeyore in Winnie-the-Pooh 1926 book			 Masked Bear's Faithful Steed (in the New Adventures of Winnie the Pooh),eoR,Tigger II (in the 2011 film)	 Gray (sometimes blue) toy donkey, old, black mane, both light gray (sometimes fair) muzzle and underbelly to his legs, droopy eyes, long ears, pink ear innards, thick black eyebrows, detachable tail with a black mane, a pink bow, and silver tack on his tail to his rear			 Good	 Gloomy, dismal, sarcastic, cynical, pretty, depressed, negative, pessimistic, wise, loyal, observant, insightful		 His house,Hundred Acre Wood		 Christopher Robin, Pooh, Tigger, Piglet, Rabbit, Roo, Owl, Gopher, Kanga, Lumpy, Darby, Buster	His house,Hundred Acre Wood	 Being gloomy, eating thistles, Poohsticks, birthdays	 Being alone, losing his tail, any single object playing his tail, being bounced by Tigger, bee stings, Tigger ruining his birthday	 Strength,His hooves	 "Thanks for noticin' me."
Christopher Robin	http://disney.wikia.com/wiki/Christopher_Robin	 The Many Adventures of Winnie the Pooh, Winnie the Pooh Discovers the Seasons, Winnie the Pooh and a Day for Eeyore, Pooh's Grand Adventure: The Search for Christopher Robin, The Tigger Movie, Piglet's Big Movie, Pooh's Heffalump Movie, Winnie the Pooh, Mickey's Magical Christmas: Snowed in at the House of Mouse	 The New Adventures of Winnie the Pooh, House of Mouse, The Book of Pooh (as an unseen character), My Friends Tigger &amp; Pooh (as a special guest), A Poem Is...	 Winnie The Pooh's Rumbly Tumbly Adventure, Winnie the Pooh: Adventures in the Hundred Acre Wood		 Mark Henn (Winnie the Pooh),Rachel R. Bibb (Winnie the Pooh)	 Bruce Reitherman (1966),Jon Walmsley (1968),Timothy Turner (1974),Kim Christianson (1983),Tim Hoskins (1988–1991),Edan Gross (1991),Brady Bluhm (1997–1999),Tom Attenborough (2000),Paul Tiesler (2001–2003),Tom Wheatley (2003),William Green (2002),Struan Erlenborn (2007–2010),Jack Boutler (in the 2011 film),Kath Soucie (singing voice; in Piglet's Big Movie),Jeff Bennett (singing voice; in "Winnie the Pooh a Very Merry Pooh Year")	 Christopher Robin Milne				 Small, slender,  8-10 years old, handsome, brown hair, fair skin, thin black eyebrows	 Fall 1978		 Good	 Imaginative, playful, cute, friendly, adventurous	 To have fun with Pooh Bear and his buddies	 Hundred Acre Wood	 Mrs. Robin (mother; in the New Adventures of Winnie the Pooh)	 Winnie the Pooh, Piglet, Tigger, Rabbit, Eeyore, Owl, Kanga, Roo, Gopher, Lumpy, Darby, Buster	Hundred Acre Wood	 His friends, his stuffed animals, exploring, playing with and helping his friends	 Thunderstorms, bees, scary movies		 "Silly ol' bear!"
Rabbit	http://disney.wikia.com/wiki/Rabbit	 The Many Adventures of Winnie the Pooh, Winnie the Pooh and a Day for Eeyore, Winnie the Pooh Discovers the Seasons, Pooh's Grand Adventure: The Search for Christopher Robin, The Tigger Movie, Piglet's Big Movie, The Lion King 1½ (silhouette cameo), Winnie the Pooh: Springtime with Roo, Pooh's Heffalump Movie, Pooh's Heffalump Halloween Movie, Mickey's Magical Christmas: Snowed in at the House of Mouse, Winnie the Pooh	 Welcome to Pooh Corner, The New Adventures of Winnie the Pooh, House of Mouse, The Book of Pooh, My Friends Tigger &amp; Pooh	 Tigger's Honey Hunt, Kingdom Hearts series, Winnie The Pooh's Rumbly Tumbly Adventure, Winnie the Pooh: Adventures in the Hundred Acre Wood, Hidden Worlds (Temporary Scene)	 The Many Adventures of Winnie the Pooh, Fantasmic!	 Don Bluth (Winnie the Pooh and Tigger Too!),John Pomeroy (The Many Adventures of Winnie the Pooh),Eric Goldberg (Winnie the Pooh)	 Junius Matthews (1966–1977),Ray Erlenborn (1981),Will Ryan (1983–1986),Ken Sansom (1988–2010),Tom Kenny (2011–present)	 Ebenezer Scrooge			 Bunny Boy, Long Ears, Floppy Ears, Ra-Ra (referred to by Tigger,Rabbie (referred to by Kessie)	 Slender domestic rabbit, handsome, yellow fur, skinny arms, white cottontail	 September 14th	 Gardener,Magician (in Welcome to Pooh Corner)	 Good (actual)Good/Neutral (sometimes)	 Fussy, compulsive, worrisome, , violent, somewhat egotistical, short-tempered, bad-tempered, vain, annoy, ugly, well-meaning, protective, sensible, nice, happy, helpful, fatherly, crafty, miserly	 To be neat and organized	 Rabbit's House,Hundred Acre Wood	 Long John Cottontail (great-great uncle),Unnamed Grandfather,500 young unnamed relatives,Kessie (adoptive daughter)	 Winnie the Pooh, Christopher Robin, Tigger, Piglet, Eeyore, Roo, Owl, Gopher, Kanga, Kessie, Lumpy, Darby, Buster	Rabbit's House,Hundred Acre Wood	 Being organized, gardening, being treated as special, his friends, keep bugs and crows out of garden	 Tigger annoy him, Tigger's bouncing (at times), Eeyore's gloomy attitude, Pooh's appetite (formerly), scary things, his garden getting destroyed, not being treated as special, Owl's singing and ridiculous racket when being woke up in the morning by him (from Owl's Well That Ends Well)		 "Oh, MY!","My gracious! That's it!","Why don't you ever stop bouncing?!?","Oh, Why does it always have to be me? Why, oh why, oh why?,"This is Rabbit's garden and Rabbit does his harvesting by the BOOK!"
Owl (Winnie the Pooh)	http://disney.wikia.com/wiki/Owl_(Winnie_the_Pooh)	 The Many Adventures of Winnie the Pooh, Winnie the Pooh and a Day for Eeyore, Pooh's Grand Adventure: The Search for Christopher Robin, The Tigger Movie, Piglet's Big Movie, Mickey's Once Upon a Christmas (cameo), Winnie the Pooh, Mickey's House of Villains	 The New Adventures of Winnie the Pooh, Recess (cameo), The Book of Pooh, Welcome to Pooh Corner, House of Mouse	 Tigger's Honey Hunt, Kingdom Hearts series, Piglet's Big Game, Winnie The Pooh's Rumbly Tumbly Adventure, Kinect Disneyland Adventures, Winnie the Pooh: Adventures in the Hundred Acre Wood	 The Many Adventures of Winnie the Pooh	 Dale Baer	 Hal Smith (1966–1991),Andre Stojka (1997–2006),Craig Ferguson (2011–present)					 Slender owl, brown feathers, both cream belly and legs, both orange beak and feet		 Chef (in Welcome to Pooh Corner)	 Good	 Kind, absent-minded, nostalgic, intelligent, talkative, proud		 Owl's House,Piglet's House (briefly),Hundred Acre Wood	 Uncle Torbit,Aunt Ophelia,Dexter (cousin),Countless other relatives	 Winnie the Pooh, Tigger, Piglet, Eeyore, Rabbit, Kanga, Roo, Gopher, Nasty Jack, Christopher Robin	Owl's House,Piglet's House (briefly),Hundred Acre Wood	 Telling stories, writing memoirs, reading	 Being ignored by his friends		 "This reminds me of the time when...."
Kanga	http://disney.wikia.com/wiki/Kanga	 The Many Adventures of Winnie the Pooh, Winnie the Pooh and a Day for Eeyore, Winnie the Pooh: A Very Merry Pooh Year, Winnie the Pooh: Seasons of Giving, The Tigger Movie, Piglet's Big Movie, Pooh's Heffalump Movie, Winnie the Pooh	 The New Adventures of Winnie the Pooh, Welcome to Pooh Corner, The Book of Pooh, House of Mouse, My Friends Tigger &amp; Pooh, A Poem Is...	 Kingdom Hearts II, Winnie The Pooh's Rumbly Tumbly Adventure, Winnie the Pooh: Adventures in the Hundred Acre Wood	 The Many Adventures of Winnie the Pooh, Fantasmic!	 Anthony DeRosa,Bruce W. Smith	 Barbara Luddy (1966–1977),Julie McWhirter (1983),Kim Christianson (Welcome to Pooh Corner),Patricia Parris (1988–1990),Kath Soucie (2000–2010),Tress MacNeille (1999, Kingdom Hearts series),Kristen Anderson-Lopez (2011–present),Tomie Kataoka (Japanese)				 Mrs. Kanga, or sometimes Mrs. Kanga Ma'am reffered to by Tigger, Ms. Kanga, Mama	 Slender brown kangaroo			 Good	 Motherly, protective, understanding, beautiful, sweet, caring, wise	 To keep Roo safe	 Hundred Acre Wood	 Roo (son)	 Roo, Tigger, Winnie the Pooh, Christopher Robin, Piglet, Eeyore, Rabbit, Owl, Lumpy, Sora, Gopher	Hundred Acre Wood	 Roo	 Roo in danger	 Strength, bounces	 "Why, hello, Tigger, dear."
Roo	http://disney.wikia.com/wiki/Roo	 The Many Adventures of Winnie the Pooh, Winnie the Pooh and a Day for Eeyore, The Tigger Movie, Piglet's Big Movie, Pooh's Heffalump Movie, Pooh's Heffalump Halloween Movie, Winnie the Pooh	 Welcome to Pooh Corner, The New Adventures of Winnie the Pooh, House of Mouse, My Friends Tigger &amp; Pooh, A Poem Is...	 Tigger's Honey Hunt, Kingdom Hearts series, Winnie The Pooh's Rumbly Tumbly Adventure, Kinect Disneyland Adventures, Winnie the Pooh: Adventures in the Hundred Acre Wood	 The Many Adventures of Winnie the Pooh	 Anthony DeRosa,Bruce W. Smith	 Clint Howard (1966–1977), Dick Billingsley (Day for Eeyore), Nicholas Melody (1988–1991), Nikita Hopkins (1999–2005), Jimmy Bennett (2004–2005),Max Burkholder (2007–2009),Wyatt Dean Hall (2011–present),Masaya Sugimoto (Japanese)					 Small and slender brown joey, beady eyes, 2 hairlines, blue long-sleeved T-shirt (red in Welcome to Pooh Corner)			 Good	 Playful, curious, imaginative, brave, handsome, cute	 To bounce just like Tigger	 Hundred Acre Wood	 Kanga (mother)	 Tigger, Kanga, Winnie the Pooh, Christopher Robin, Piglet, Rabbit, Eeyore, Gopher, Owl, Darby, Buster, Sora, Lumpy	Hundred Acre Wood	 Bouncing, playing, fun	 The extract of malt that his mother gives him as "strengthening medicine" after meals, though he will reluctantly take it	 Jumping abilities	 "Hi, Tigger!" , "I've got a mama. Don't you have a family somewhere too?"
