Winnie the Pooh	http://disney.wikia.com/wiki/Winnie_the_Pooh	 The Many Adventures of Winnie the Pooh, Winnie the Pooh Discovers the Seasons, Winnie the Pooh and a Day for Eeyore, Winnie the Pooh: A Very Merry Pooh Year, Winnie the Pooh: Seasons of Giving, Pooh's Grand Adventure: The Search for Christopher Robin, The Tigger Movie, Mickey's Magical Christmas: Snowed in at the House of Mouse, Mickey's House of Villains, Piglet's Big Movie, Winnie the Pooh: Springtime with Roo, Pooh's Heffalump Movie, Pooh's Heffalump Halloween Movie, Winnie the Pooh	 Welcome to Pooh Corner, The New Adventures of Winnie the Pooh, House of Mouse, The Book of Pooh, My Friends Tigger and Pooh, A Poem Is...	 Winnie the Pooh: Adventures in the Hundred Acre Wood, Tigger's Honey Hunt, Kingdom Hearts series, Piglet's Big Game, Winnie The Pooh's Rumbly Tumbly Adventure, Meteos: Disney Magic, Kinect Disneyland Adventures, Disney INFINITY series (townsperson)	 The Many Adventures of Winnie the Pooh, Pooh's Hunny Hunt, Mickey Mouse Revue, Fantasmic!, Celebrate A Dreams Come True Parade, Jubilation!, Flights of Fantasy Parade, Mickey's Boo-to-You Halloween Parade, Mickey's Once Upon a Christmastime Parade, Disney Stars and Motorcars Parade, Light Magic, A Christmas Fantasy Parade, Parade of the Stars	 Frank Thomas (The Many Adventures of Winnie the Pooh),Ollie Johnston (The Many Adventures of Winnie the Pooh),Mark Henn (Winnie the Pooh),Rachel R. Bibb (Winnie the Pooh)	 Sterling Holloway (1966–1977),Hal Smith (1981–1986),Jim Cummings (1988–present)	 Winnie-the-Pooh from the books created by A. A. Milne.	 Star on the Hollywood Walk of Fame10th place in WatchMojo.com's Top 10 Classic Disney Animated Characters	 Edward Winnie-the-Pooh Bear	 Pooh,Pooh Bear,Buddy Bear (referred to by Tigger),Silly Old Bear (referred to by Christopher Robin),Pooh Boy (referred to by Tigger),Masked Bear (in the New Adventures of Winnie the Pooh),Edward Bear	 Plump ocre teddy bear, both black beady eyes and nose, a red short-sleeved shirt	 October 14	 Super Seulth,Pet owner	 Good	 Innocent, slow, caring, brave, obesity, hungry, happy, gentle, friendly, lovable, roly-poly, simple-minded, childlike, oblivious, a worrier at times	 To keep his tummy full of honey.	 Hundred Acre Wood		 Christopher Robin, Piglet, Tigger, Eeyore, Rabbit, Owl, Roo, Gopher, Kanga, Kessie, Lumpy, Darby, Buster, Heffalumps	Hundred Acre Wood	 Honey, his friends, balloons, adventure, imagination, songs, Christmas, autumn	 Bees, running out of honey, the thought of losing Christopher Robin, failing his friends	 Invulnerability (designed as a stuffed animal, filled with fluff), can communicate with bees (The Book of Pooh)	 "Oh, bother!","Think, think, think!"
Gopher (Winnie the Pooh)	http://disney.wikia.com/wiki/Gopher_(Winnie_the_Pooh)	 The Many Adventures of Winnie the Pooh, Winnie the Pooh: Seasons of Giving, Winnie the Pooh: A Very Merry Pooh Year, Pooh's Heffalump Halloween Movie (in Roo's flashback)	 The New Adventures of Winnie the Pooh, House of Mouse, Goof Troop (cameo), My Friends Tigger and Pooh (mentioned)	 Tigger's Honey Hunt, Kingdom Hearts II, Winnie the Pooh: Adventures in the Hundred Acre Wood: Goof TroopSee also: The Disney Afternoon	 The Many Adventures of Winnie the Pooh, Pooh's Hunny Hunt	 John Lounsbery	 Howard Morris (1966–1977),Michael Gough (1988–present),Mahito Tsujimura (Japanese)	 Mr. Busy from Lady and the Tramp		 Samuel J. Gopher		 Slender gray gopher		 Miner	 Good	 Busy, hard-working		 Hundred Acre Wood	 Grand Pappy	 Winnie the Pooh, Tigger, Owl, Piglet, Roo, Kanga, Rabbit, Christopher Robin, Eeyore, Lumpy, Sora	Hundred Acre Wood	 Digging, dynamite	 Rabbit disturbing Pooh Bear's appetite on his swing shift, The Crows using his holes to steal Rabbit's vegetables, being woke up from Winter Hibernation, dark	 Digging	 "I'm not in the book, you know.","By Dinghy!","Say, what's wrong Sonny?"
The Backson	http://disney.wikia.com/wiki/The_Backson	 Winnie the Pooh				 Eric Goldberg	 Huell Howser	 Monster from "My Pet Monster"				 Gigantic and obese creature, tail, surly ugly mug face, sharp horns atop his head in between a red mop hair that covers his eyes, black toes, blue fur, shaggy rug-like hide, gold ring on his nose		 Pooh and his pals' target	 Bad (according to Owl), Good (real)	 Destructive, devilish, monstrous, fearsome, bad, cruel (according to Owl), gentle, curious, enthusiastic	 To cause complete chaos (according to Owl), to return the items left out for him (real)					 Chaos, destroying things, thefts (according to Owl), finding things in the woods, helping to return lost things (real)		 Incredible strength, flight	 "Wow! It's amazing what you can find in the woods. A marble. And a boot. And Oh My that's a scary looking fellow.","Gosh! Maybe These were His things. You know i better pick them up so they won't get broken. That's the last thing i would want.","Oh My Gosh! Is this a pit? I think i'm in a Pit! Hello, Anybody Up There? Oh Well, I sure hope that fellow would be back soon."
Lumpy	http://disney.wikia.com/wiki/Lumpy	 Pooh's Heffalump Movie, Pooh's Heffalump Halloween Movie	 My Friends Tigger and Pooh				 Kyle Stanger , Oliver Dillon	 Junior HeffalumpHenry		 Heffridge Trumpler Brompet Heffalump, IV (named by his mother)	 Lumpster	 Obese lavender heffalump, both purple yarned hair and cottontail, beady eyes, short trunk		 Roo's sidekick	 Good	 Happy, friendly, fun, innocent, cute		 Hundred Acre Wood	 Mama Heffalump (mother)	 Roo, Kanga, Piglet, Eeyore, Winnie the Pooh, Tigger, Rabbit, Christopher Robin, Darby, Buster, Porcupine, Turtle, Woodpecker, Beaver, Raccoon, Skunk	Hundred Acre Wood	 Playing games, honey, bouncing, swimming	 Getting into trouble, being trapped	 Strength, loud trunk	 "Ha ha ha ha!"
Kessie	http://disney.wikia.com/wiki/Kessie	 Winnie the Pooh: Seasons of Giving, The Book of Pooh: Stories from the Heart	 The New Adventures of Winnie the Pooh, The Book of Pooh				 Laura Mooney,Stephanie D'Abruzzo,Amanda Maddock,Tara Strong					 Small and slender blue bird		 Friend of Pooh and the others, especially her "Rabbie" when she was a little baby bird	 Good	 Innocent, kind, resourceful, brave, adorable, cute, gorgeous	 To be happy in life	 Hundred Acre Wood	 Rabbit (adoptive father, friend)	 Pooh and friends, Christopher Robin	Hundred Acre Wood	 Flying, having fun, helping her friends, playing toys, stuffed animals	 Not being allowed to fly, being treated like a baby, bad situations	 Flight	 "Am I doing this right, Rabbie?","Hello, everyone.","Everyone knows he's Winnie the Pooh."
Stan Woozle and Heff Heffalump	http://disney.wikia.com/wiki/Stan_Woozle_and_Heff_Heffalump		 The New Adventures of Winnie the Pooh				 Ken Sansom (Stan),Tom Kenny (Stan) (Currently),Chuck McCann (Heff)	 Possibly George and Lennie from John Steinbeck's "Of Mice and Men".				 Stan: Slender dark gray woozle, yellow eyes, black nose, light gray stomach, torso, chin, and lower nose, purple bags under eyes, with a red cap, yellow vest, blue pants, black shoes, red and white polka dot tie,Heff: Obese orange heffalump, black vest, large tooth, yellow torso, stomach, and chin, burnt orange colored square patch on the knee		 Thieves	 Bad/Neutral	 Stan: Calm, devious, intelligent,Heff: Loud, easily scared, idiotic	 To steal honey, to ransom Kessie	 The Hundred Acre Wood		 Wooster (formerly)	The Hundred Acre Wood	 Both: Stealing honey,Stan: Being intimidating	 Stan: Politeness, friendship, the "fluffbags" (Stan's nickname for Pooh and his friends),Heff: Mice, Wooster,Both: Mousetraps, Kessie		 Stan: "To think a woozle would stoop to saying please!",Heff: "You're brilliant, Stan! Brilliant! How are we gonna get the little birdie in our hands?"
Darby	http://disney.wikia.com/wiki/Darby		 My Friends Tigger &amp; Pooh				 Chloë Grace Moretz (US),Kimberlea Berg (UK)				 Darbbuddy,Dar-Dar	 Small, slender, 6 years old, short red hair, blue eyes, fair skin, freckles, pink lips, blue baseball cap with a green question mark on it, white shirt, both purple vest and headband, teal jeans, white sneakers		 Super Sleuth		 Smart, energetic, tomboyish	 To solve the case on each episode	 Hundred Acre Wood		 Her dog Buster, Winnie the Pooh, Christopher Robin, Piglet, Tigger, Eeyore, Kanga, Roo, Rabbit, Lumpy, Woodpecker, Beaver, Raccoon, Turtle, Porcupine	Hundred Acre Wood	 Super-sleuthing, playing, sunbathing, fun, being with her friends	 Sunburn, giving up	 Strength, speed	 "Good sleuthin', everybody!","Time to slap my cap!","Silly old bear."
The Bees	http://disney.wikia.com/wiki/The_Bees	 The Many Adventures of Winnie the Pooh, The Tigger Movie, Piglet's Big Movie, Winnie the Pooh	 The New Adventures of Winnie the Pooh, The Book of Pooh	 Tigger's Honey Hunt, Piglet's Big Game, Kingdom Hearts series, Disney Universe, Kinect Disneyland Adventures	 The Many Adventures of Winnie the Pooh, Pooh's Hunny Hunt							 Swarm of honey bees			 Bad/Neutral	 Protective, Bold, Hard Working	 To protect their honey			 Each other		 Honey, making honey	 Pooh stealing their honey	 Flight,Speed	
Heffalumps	http://disney.wikia.com/wiki/Heffalumps	 The Many Adventures of Winnie the Pooh, Pooh's Heffalump Movie	 The New Adventures of Winnie the Pooh, My Friends Tigger and Pooh	 Tigger's Honey Hunt, Winnie The Pooh's Rumbly Tumbly Adventure	 The Many Adventures of Winnie the Pooh, Pooh's Hunny Hunt			 Pink Elephants				 Large elephant-like creatures			 Good	 Sweet, gentle, understanding, generous, friendly, cute	 Remain friends with Pooh, Tigger, Piglet, Rabbit, Eeyore, Christopher Robin, and Gopher to share honey.	 Heffalump Hallow		 Lumpy, Winnie the Pooh, Tigger, Piglet, Rabbit, Eeyore, Kanga, Roo, Owl, Gopher, Christopher Robin (Good only for Pooh and friends), Woozles (formerly)	Heffalump Hallow	 Honey, adventures, swimming, Pooh and friends	 Being mistreated, Being denied honey	 Transformation, multiplication, use trunks as vacuums (nightmarish depictions only), great strength	
Crud	http://disney.wikia.com/wiki/Crud		 The New Adventures of Winnie the Pooh				 Jim Cummings				 The master of mud, the surveyor of slime, the guru of garbage, and the wiseman of waste	 A giant green slime monster with yellow eyes		 Ruler of Christopher Robin's "Under-the-Bed"	 Bad Bad	 Bad, mean, quick-tempered, evil, selfish, careless, and clean-hating	 To take over the world by making it dirty	 Under Christopher Robin's bed		 Smudge and crayon soldiers Ansem Seeker of Darkness, Xehanort, Xemnas, Young Xehanort, Master Xehanort, Isa, Braig, Ultimate Xehanort of the X (chi) blade.	Under Christopher Robin's bed	 Dirt, everything dirty	 the words "clean" and "washed up", being cleaned up, and soap	 Super Strength, Slime Elemental plowers	 "No one cleans up down here!" , "Smudge! I'm speaking." , "Christopher Robin. Everyone knows who you are down here."
Woozles	http://disney.wikia.com/wiki/Woozles	 The Many Adventures of Winnie the Pooh	 The New Adventures of Winnie the Pooh, My Friends Tigger and Pooh	 Tigger's Honey Hunt	 The Many Adventures of Winnie the Pooh, Pooh's Hunny Hunt			 Woozles as described in the A.A. Milne stories about Pooh				 Slender weasel like creatures in a variety of patterns ranging from polka dots to plaid to stripes		 Honey thieves	 Bad (except for Wooster who reformed in The New Adventures)	 Sly, devilish, cunning, evil, confusing, scheming, greedy	 To steal honey	 Anywhere		 Heffalumps (formerly)	Anywhere	 Honey, robberies	 Pooh and pals	 Transformation, multiplication	
Santa Claus	http://disney.wikia.com/wiki/Santa_Claus	 See below	 See below				 See below				 St. Nicholas, Jim, Sandy Claws, The Big Guy	 Very obese, half bald, white hair and long beard, red suit and cap, black boots		 Gift giver and holiday mascot	 Good	 Kind, nice, jolly	 Giving out toys to good children	 The North Pole	 Mrs. Claus	 Mrs. Claus, Mickey Mouse, Minnie Mouse, Donald Duck, Goofy, Pluto, Daisy Duck, Jiminy Cricket, Bonkers D. Bobcat, Lucky Piquel, Jack Skellington, Sally F. Skellington, Dr. Finkelstein, Mayor of Halloween Town, Lock, Shock, and Barrel, Wayne, Lanny, Magee, Noel, Brandy Harrington, Mr. Whiskers, Phineas Flynn and Ferb Fletcher, Candace Flynn, Sora	The North Pole	 Children's goodness, happiness, good behavior, love, sharing	 Bad behavior, Jack ruining Christmas, Oogie Boogie's ex-minions' rude behaviors	 Christmas magic	 "Ho Ho Ho"
Christopher Robin's Mom	http://disney.wikia.com/wiki/Christopher_Robin%27s_Mom		 The New Adventures of Winnie the Pooh, The Book of Pooh				 Patricia Parris (The New Adventures of Winnie the Pooh)	 Dorothy "Daphne" de Selincourt-Milne			 Mrs. Robin (The New Adventures of Winnie the Pooh)			 Mother of Christopher Robin		 Fun, loving and caring mother	 To raise her son with love and careness	 Christopher Robin's House	 Christopher Robin (son)		Christopher Robin's House	 Christopher Robin having fun, Christopher Robin being happy and keeping his room clean and eating his vegetables	 Christopher Robin being sad, making his room a mess and getting into mischief and not eating his vegetables		 "Christopher Robin, you can play after you've picked up this mess.","Christopher, time for school!"
Nasty Jack	http://disney.wikia.com/wiki/Nasty_Jack		 The New Adventures of Winnie the Pooh				 Jim Cummings	 John Wayne			 Sheriff Jack (at the end)			 Horse Thief leader (formerly), later town sheriff	 Bad, later good		 To trounce Piglet and terrorize the people of Rickety Gulch (formerly),To clean up the town	 Rickety Gulch		 Piglet, Winnie the Pooh, Eeyore, Rabbit, Tigger, and Horse Thieves (formerly)	Rickety Gulch	 Trouncing people (formerly), terrorizing people (formerly), root beers, and banana splits	 Not being able to trounce people (formerly), sheriffs (formerly), and bad guys	 Strength and speed	 "You don't get the picture here, fellas. We're not "horse thieves", we're horse thieves. Horses who steal things, comprendo?","Hate to break it to ya, chum, but we've got us a little problem.","See? That badge makes you sheriff, and sheriffs and horse thieves don't get along, right? And since I'm Nasty Jack, the world's meanest horse thief, I'm gonna have to trounce ya.","Now look what ya done! The badge fell off! You know what this means?! (after Piglet replies) You're not sheriff anymore!","Oh, sure. Fine. Now that's just peachy, isn't it? Now I can't even trounce ya! What in the blue blazes am I supposed to do?!","Honest? Ya mean it? I always wanted to be sheriff." (after Piglet suggests he becomes the sheriff),"Alrighty, pilgrim. I'm the sheriff now and I'm really gonna clean up this town. Comprendo?!"
The Toy Villains	http://disney.wikia.com/wiki/The_Toy_Villains																								
Wooster	http://disney.wikia.com/wiki/Wooster		 The New Adventures of Winnie the Pooh				 Peter Cullen (uncredited)					 Gigantic woozle with large lavender chest and arms, dark red narrow waist with sea foam green head, hands, and claws, yellow eyes, and large red nose		 Stan's backup (formerly), a giant honey thief (formerly)	 Bad/Neutral, later good	 Mean (formerly), ruthless (formerly), kind, caring	 To steal honey (formerly), to gain friendship	 The Hundred Acre Wood		 Winnie the Pooh, Piglet, Tigger, Roo, Rabbit, Stan and Heff (formerly)	The Hundred Acre Wood	 Stealing honey (formerly), politely asking to have some honey (currently)	 Politely asking to have some honey (formerly), Stan and Heff threatening Pooh, stealing honey (currently)	 Great strength	 "Hey, what friends for?"
Buster (Winnie the Pooh)	http://disney.wikia.com/wiki/Buster_(Winnie_the_Pooh)	 Tigger and Pooh and a Musical Too	 My Friends Tigger &amp; Pooh				 Dee Bradley Baker									 Fun, adventurous, playful				 Darby, Winnie the Pooh, Tigger, Piglet, Rabbit, Christopher Robin, Lumpy, Roo, Kanga, Eeyore		 Sleuthing	 Scary things		 "(barks)"
Bugs (Winnie the Pooh)	http://disney.wikia.com/wiki/Bugs_(Winnie_the_Pooh)		 The New Adventures of Winnie the Pooh				 Frank Welker					 Six-legged, green caterpillar-like insects with yellow undersides		 Food thieves	 Bad/neutral	 Sneaky, hungry, vile, cunning, mischievous, pesky	 To get some food from Rabbit's garden for feeding					 Getting food from Rabbit's garden	 Not getting food, being caught and trapped by Rabbit	 Strength in numbers	
Dexter	http://disney.wikia.com/wiki/Dexter		 The New Adventures of Winnie the Pooh									 Small slender owl with red glasses, brown feathers, both cream belly and legs, both orange beak and feet		 Owl's genius cousin	 Good	 Smart, kind, technical, a genius		 Hundred Acre Wood	 Owl (cousin),Uncle Torbit,Aunt Ophelia,Countless other relatives	 His cousin Owl, Winnie the Pooh, Tigger, Piglet, Rabbit, Kanga, Roo	Hundred Acre Wood	 Technology, speaking like a professor	 Being ignored by his friends	 Knowledge, technology	 "Indubitably."
Mama Heffalump	http://disney.wikia.com/wiki/Mama_Heffalump	 Pooh's Heffalump Movie	 My Friends Tigger and Pooh				 Brenda Blethyn				 Pooh, Piglet, Kanga, Roo, Rabbit, Owl, Eeyore, Darby, Buster	 Huge elephant-like animal		 To raise Lumpy		 Motherly		 Heffalump Hollow (formerly),Hundred Acre Wood	 Lumpy (son)		Heffalump Hollow (formerly),Hundred Acre Wood		 Losing Lumpy	 Strength	
Smudge	http://disney.wikia.com/wiki/Smudge		 The New Adventures of Winnie the Pooh				 Jim Cummings					 A small talking ball of red-orange and green dust; always sneezing		 Crud's servant	 Bad	 Dumb, annoying, grateful, stupid, bad, and loyal	 To serve his master	 Under Christopher Robin's bed		 Crud and crayon soldiers	Under Christopher Robin's bed	 His master, dirt, and everything dirty	 everything clean	 Slither around incredibly fast, and high praise of his master	 "Coming, master!"
Crows (Winnie the Pooh)	http://disney.wikia.com/wiki/Crows_(Winnie_the_Pooh)		 The New Adventures of Winnie the Pooh				 Frank Welker	 Diablo (as adults from "A Very, Very Large Animal"),Poe De Spell and The Crows from Dumbo (as normal crows)			 Nobodies,Flying featherdusters,Vegetable vandals,Confounded crows,Fine-feathered felons,Ravenous ravens (referred to by Rabbit)	 As adults from "A Very, Very Large Animal": Very muscular, black feathers and gray feathers on the inside on their wings, orange beak, purple bags under their eyes, orange feet with two claws,In a normal version: Slender, black feathers, orange beak, orange feet, black feathers and light and dark purple feathers on the inside on their wings		 Food thieves	 Bad/neutral	 Sneaky, hungry, cunning, vile, mischievous, pesky, angry, noisy, loud, big-mouthed	 To get some food from Rabbit's garden for feeding and fly off with more vegetables and other foods					 Getting food from Rabbit's garden (formerly), singing for the Dawn Chorus along with Owl (from Owl's Well That Ends Well)	 Not getting food, being caught and trapped by Rabbit, Piglet telling them what to do to get away from him and Rabbit's garden (from A Very, Very Large Animal)	 Flight	 "Caw, caw!"
Pack Rats	http://disney.wikia.com/wiki/Pack_Rats																								
Tigger's mom	http://disney.wikia.com/wiki/Tigger%27s_mom																								
Bruno (Winnie the Pooh)	http://disney.wikia.com/wiki/Bruno_(Winnie_the_Pooh)	 The Little Engine That Could	 The New Adventures of Winnie the Pooh				 Jim Cummings	 Robot monkey		 Bruno, The Best Toy A Kid Could Get		 Grey fur, marching band hat, red jacket, black pants			 Good/Neutral	 arrogant, show-off, bragger, fun-loving	 To be "the best toy a kid could get"	 With Christopher Robin's friend, Bruno's real recipient		 "Winnie the Pooh", "Rabbit", "Tigger", "Piglet", "Christopher Robin"	With Christopher Robin's friend, Bruno's real recipient	 Singing and dancing, showing off his many talents	 Being replaced, not being the best, his key unwinding	 Wind-up key	
Birdzilla	http://disney.wikia.com/wiki/Birdzilla																								
Papa Heffalump	http://disney.wikia.com/wiki/Papa_Heffalump		 The New Adventures of Winnie the Pooh				 Jim Cummings					 Yellow heffalump with green clothing and red hat		 Junior Heffalump's father	 Good	 Fun, kind, likable, funny	 To take care of his son, Junior Heffalump	 The Hundred Acre Wood	 Junior Heffalump (son)	 Rabbit, Piglet, Winnie the Pooh, Tigger, Junior Heffalump	The Hundred Acre Wood	 Being with his son	 Losing his son, Junior Heffalump's disobedience	 Invulnerability	
Nasty Jack's Gang	http://disney.wikia.com/wiki/Nasty_Jack%27s_Gang		 The New Adventures of Winnie the Pooh											 Horse thieves	 Bad			 Rickety Gulch		 Each other, Nasty Jack (formerly)	Rickety Gulch				
Balloony (Winnie the Pooh)	http://disney.wikia.com/wiki/Balloony_(Winnie_the_Pooh)	 Winnie the Pooh										 A big, red balloon on a string		 Christopher Robin's toy, Hundred Acre Wood inhabitant		 Quiet, helpful	 To find Christopher Robin and win the honey	 Hundred Acre WoodChristopher Robin's room	 Other balloons in the Winnie the Pooh franchise(Possibly)	 Winnie the Pooh, Piglet, Eeyore, Kanga, Roo, Rabbit, Tigger, Christopher Robin	Hundred Acre WoodChristopher Robin's room	 Honey	 Christopher Robin lost	 flying, floating, gliding	
Winifred (Winnie the Pooh)	http://disney.wikia.com/wiki/Winifred_(Winnie_the_Pooh)	 Winnie the Pooh: A Valentine for You (mentioned)												 Christopher Robin's girlfriend						 Christopher Robin boyfriend,Winnie the Pooh (possibly),Piglet (possibly),Tigger (possibly),Rabbit (possibly),Eeyore (possibly),Gopher (possibly),Owl (possibly)					
Beaver (Winnie the Pooh)	http://disney.wikia.com/wiki/Beaver_(Winnie_the_Pooh)																								
The Opossum Twins	http://disney.wikia.com/wiki/The_Opossum_Twins																								
Skippy (Winnie the Pooh)	http://disney.wikia.com/wiki/Skippy_(Winnie_the_Pooh)																								
Bunnies (Winnie the Pooh)	http://disney.wikia.com/wiki/Bunnies_(Winnie_the_Pooh)		 The New Adventures of Winnie the Pooh									 small slender rabbits with pink ears and tails		 Rabbit's party guests		 Happy, jumpy, sensitive, fun, attentive	 To have fun at Rabbit's party	 Hundred Acre Wood	 Rabbit	 Rabbit, Piglet, Pooh, Tigger, Gopher	Hundred Acre Wood	 Piglet reading stories to them, parties	 Giants gobbling up villages (in Piglet's story)	 Can shake Rabbit's house when they cry	 "Yay!""Waaah!"
Squirrel	http://disney.wikia.com/wiki/Squirrel																								
Long John Cottontail	http://disney.wikia.com/wiki/Long_John_Cottontail																								
Pygmy Piglets	http://disney.wikia.com/wiki/Pygmy_Piglets																								
Woodpecker	http://disney.wikia.com/wiki/Woodpecker																								
Rabbit's Friends and Relations	http://disney.wikia.com/wiki/Rabbit%27s_Friends_and_Relations																								
Rabbit's relatives	http://disney.wikia.com/wiki/Rabbit%27s_relatives																								
Pooh's Grand Adventure: The Search for Christopher Robin	http://disney.wikia.com/wiki/Skullasaurus																								
